wavelength,temp 10 strain 20,temp 20 strain 40,temp 30 strain 60,temp 40 strain 80,temp 50 strain 100,temp 25 strain 500,temp 25 strain 1000,reference temp 25 strain 0
1.559030000E-06,-48.66436441,-47.91373183,-45.267914,-49.4306492,-40.46379182,-30.27481617,-36.15041896,-35.63844766
1.559030000E-06,-45.72875832,-46.68965731,-43.31083224,-47.24447897,-39.92822565,-29.72946461,-34.90517024,-35.08921683
1.559030000E-06,-44.98170393,-43.98547145,-41.03565244,-43.41246888,-38.84247235,-28.60821682,-32.13024765,-33.95389998
1.559030000E-06,-43.88795385,-42.1615045,-39.38448736,-40.72849736,-37.97672556,-27.70416724,-30.24773887,-33.03472592
1.559030000E-06,-42.5011881,-39.36024373,-38.36803559,-38.93168228,-36.13062939,-25.76792711,-27.35055763,-31.06332062
1.559030000E-06,-42.41801038,-38.2324145,-37.97226957,-38.30005252,-35.9748698,-25.60304091,-26.1775428,-30.89489361
1.559030000E-06,-40.65372918,-37.97695698,-37.81899998,-37.61995215,-35.63220824,-25.23442807,-25.9079458,-30.51618008
1.559030000E-06,-39.17161354,-37.6535992,-37.15715133,-36.42106436,-35.33112259,-24.90591473,-25.56078865,-30.17699124
1.559030000E-06,-39.00335109,-37.59449867,-36.60906136,-36.04762835,-34.82079414,-24.34282924,-25.49615197,-29.59346085
1.559030000E-06,-38.65763941,-37.43228255,-36.33450631,-35.5976715,-34.19368166,-23.64632721,-25.31526279,-28.87035257
1.559030000E-06,-38.24339523,-37.03407641,-35.70101918,-34.87467347,-34.15901589,-23.60733661,-24.86481417,-28.8297075
1.559030000E-06,-38.09327578,-37.02324679,-35.553834,-34.57662076,-33.86069168,-23.26649809,-24.85235586,-28.47258329
1.559030000E-06,-37.63495913,-36.34072318,-35.31885083,-34.20813937,-33.50556744,-22.85664921,-24.05926959,-28.04190842
1.559030000E-06,-37.57678695,-36.18441676,-34.92443524,-33.95860595,-32.90170655,-22.15693047,-23.87614387,-27.3062418
1.559030000E-06,-37.45621217,-36.11259515,-34.5123969,-33.65472193,-32.85162201,-22.09831176,-23.79034936,-27.24444353
1.559030000E-06,-37.40259182,-35.91619126,-34.42301993,-33.57555411,-32.81637819,-22.05622061,-23.55148002,-27.19978337
1.559030000E-06,-37.23578196,-35.49725923,-34.31784311,-33.50493102,-32.64300568,-21.84559436,-23.03739646,-26.97515157
1.559030000E-06,-36.9527881,-35.34423734,-34.27970418,-33.47706961,-32.41780894,-21.56865933,-22.84766374,-26.67886315
1.559030000E-06,-36.88422502,-35.25665499,-33.96154456,-33.30481952,-32.30781537,-21.4315375,-22.73699172,-26.5316265
