wavelength,temp 10,temp 20,temp 30,temp 40,temp 50,temp 25 (500),temp 25 (1000),reference temp 25
1.559030000E-06,-36.28149808,-36.69126408,-50.89576969,-41.60450192,-30.53276142,-35.63861993,-40.3804502,-35.63849774
1.559030000E-06,-33.29415069,-35.43775083,-48.83639918,-39.39402356,-29.98741398,-35.08938914,-39.12113786,-35.08926699
1.559030000E-06,-32.52155062,-32.63540726,-46.37305052,-35.50377532,-28.86618115,-33.95407235,-36.29961693,-33.95395032
1.559030000E-06,-31.37286174,-30.73043828,-44.54692611,-32.7718057,-27.96214765,-33.03489837,-34.37901778,-33.03477647
1.559030000E-06,-29.903132,-27.79697002,-43.39251435,-30.93426896,-26.02594504,-31.06349324,-31.42046374,-31.06337163
1.559030000E-06,-29.8135696,-26.60702674,-42.92568461,-30.28302225,-25.86106261,-30.89506625,-30.21887091,-30.89494466
1.559030000E-06,-27.90057601,-26.3321242,-42.73587799,-29.57506572,-25.49246055,-30.51635277,-29.94031502,-30.51623127
1.559030000E-06,-26.29983731,-25.97600709,-41.88768416,-28.3203121,-25.16395859,-30.17716399,-29.57801963,-30.17704258
1.559030000E-06,-26.11587482,-25.90927711,-41.1714704,-27.92673425,-24.60089491,-29.5936337,-29.5098436,-29.59351246
1.559030000E-06,-25.72994638,-25.72129442,-40.80184648,-27.44774285,-23.90442136,-28.87052555,-29.31695143,-28.87040456
1.559030000E-06,-25.25973716,-25.25105509,-39.93130519,-26.67306949,-23.86543254,-28.82988048,-28.83303651,-28.8297595
1.559030000E-06,-25.08603236,-25.23797952,-39.72379137,-26.35128047,-23.52461143,-28.47275635,-28.81953447,-28.47263552
1.559030000E-06,-24.54684503,-24.40337021,-39.37924677,-25.94954343,-23.11478487,-28.04208158,-27.95636597,-28.04196094
1.559030000E-06,-24.47710904,-24.21029081,-38.78748617,-25.67478269,-22.41510479,-27.30641513,-27.75648033,-27.30629483
1.559030000E-06,-24.32886645,-24.1192931,-38.16239355,-25.33681271,-22.35648951,-27.24461687,-27.66192072,-27.2444966
1.559030000E-06,-24.26123525,-23.86460057,-38.02290061,-25.24769501,-22.31440112,-27.19995673,-27.39639806,-27.19983648
1.559030000E-06,-24.04580056,-23.31548411,-37.85126102,-25.16699011,-22.10378991,-26.97532499,-26.82344443,-26.97520488
1.559030000E-06,-23.67454928,-23.11237354,-37.78601573,-25.13463945,-21.82687569,-26.67903666,-26.61127787,-26.67891674
1.559030000E-06,-23.5828418,-22.99327838,-37.2271188,-24.93184791,-21.68976474,-26.53180006,-26.48648095,-26.53168023
1.559030000E-06,-23.22314685,-22.87701276,-36.69790523,-24.646435,-21.38256847,-26.20090848,-26.36422598,-26.20078889
1.559030000E-06,-23.08748104,-22.50026481,-36.44564602,-24.20540005,-21.23274358,-26.0390649,-25.96737529,-26.03894543
1.559030000E-06,-22.69540375,-22.39405997,-36.15868496,-24.0610191,-20.99253196,-25.77875082,-25.85530146,-25.77863156
1.559030000E-06,-22.56085559,-22.20590416,-36.09780501,-23.67938564,-20.76343371,-25.52990763,-25.65619219,-25.52978858
1.559030000E-06,-22.50056292,-22.16095661,-35.84926597,-23.5153448,-20.6548024,-25.4115026,-25.60847825,-25.41138364
1.559030000E-06,-22.31209446,-22.0638438,-35.53477219,-23.3929975,-20.47122503,-25.21066425,-25.50501264,-25.21054548
1.559030000E-06,-22.109492,-21.63115621,-35.34183986,-23.2936721,-20.41092911,-25.14442469,-25.04374701,-25.14430599
1.559030000E-06,-21.8722989,-21.47909961,-34.63536164,-23.23056832,-19.90395814,-24.58736024,-24.88160808,-24.58724208
1.559030000E-06,-21.65561307,-21.39072978,-34.51040122,-23.03465967,-19.84456867,-24.52207479,-24.78711829,-24.52195669
1.559030000E-06,-21.4276799,-21.33337896,-34.39550614,-22.92909414,-19.62668083,-24.28172956,-24.725586,-24.28161172
1.559030000E-06,-21.34491776,-21.06557123,-34.2529885,-22.88089022,-19.48922213,-24.12973016,-24.43774479,-24.12961248
1.559030000E-06,-21.1537756,-20.90919744,-33.98333982,-22.83261165,-19.43518368,-24.06971646,-24.26952215,-24.06959885
1.559030000E-06,-21.11650109,-20.84206533,-33.7884323,-22.69571547,-19.34177942,-23.96549375,-24.19711759,-23.96537626
1.559030000E-06,-21.03499132,-20.63997822,-33.53719394,-22.60043012,-19.26487318,-23.87930878,-23.97871993,-23.8791914
1.559030000E-06,-20.9505827,-20.51404013,-33.53242924,-22.58650823,-19.23386181,-23.84437866,-23.84242287,-23.84426132
1.559030000E-06,-20.74322211,-20.40604759,-33.37980243,-22.57166524,-19.12349863,-23.71951478,-23.72528726,-23.71939762
1.559030000E-06,-20.67602041,-20.35472434,-33.37501515,-22.28101529,-19.03218345,-23.61584297,-23.66945829,-23.61572595
1.559030000E-06,-20.63933652,-20.21292869,-33.10351553,-22.21982454,-18.90174231,-23.46730287,-23.51483995,-23.46718608
1.559030000E-06,-20.49284122,-20.13262809,-33.01431881,-22.18165155,-18.65400408,-23.18507074,-23.42709558,-23.18495437
1.559030000E-06,-20.42423159,-20.10362957,-32.91062131,-22.17084264,-18.55828956,-23.07592013,-23.39530707,-23.07580393
